Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation,Latitude,Longitude
Open,4/4/2016 22:30,Abiquiu,NM,USA,Changing,"Not stars glowing; Christmas stars. ((NUFORC Note: We suspect ""twinkling"" stars. PD))",4/4/2016,,,36.207215,-106.31874
Open,7/15/1996 19:30,Alamogordo,NM,USA,Changing,I opened the window to tell my dog to be quiet then about 2 sec later a yellow glowing craft about 70 feet away from me how high it was,5/30/2001,,,32.891812,-105.952151
Open,3/4/2024 18:35,Albuquerque,NM,USA,Changing,watched from my front porch,3/5/2024,,Reflection,35.101401,-106.631867
Open,6/16/2023 0:30,Albuquerque,NM,USA,Changing,Planet seen dropping from sky completely vertical changing colors.,6/17/2023,Y,,35.101401,-106.631867
Open,5/4/2020 10:30,Albuquerque,NM,USA,Changing,small shape traveling north to south above airport,5/4/2020,,,35.101401,-106.631867
Open,10/3/2019 6:33,Albuquerque,NM,USA,Changing,On 10/03 at 6:33am I observed a circular object that was as wide of my house hovering above us when we walked outside. The object hover,10/22/2019,,,35.101401,-106.631867
Open,2/17/2018 13:45,Albuquerque,NM,USA,Changing,I noticed a strange metal shape hovering south east. ((anonymous report)),2/17/2018,,,35.101401,-106.631867
Open,4/27/2017 5:20,Albuquerque,NM,USA,Changing,"A bright, silent, shape changing ball of light was observed over Albuquerque and Sandia mountains. It was seen at dawn twice in a week.",5/7/2017,,,35.101401,-106.631867
Open,12/24/2013 21:15,Albuquerque,NM,USA,Changing,Saw a kite-life UFO floating through the sky on Christmas Eve.,12/24/2013,,,35.101401,-106.631867
Open,11/28/2013 19:50,Albuquerque,NM,USA,Changing,Five lights plusing over ABQ sky.,12/1/2013,,,35.101401,-106.631867
Open,7/24/2009 21:30,Albuquerque,NM,USA,Changing,"Albuquerque, New Mexico USA Object/Lights Night Sky July 24, 2009 21:31-21:51 PM",7/25/2009,,,35.101401,-106.631867
Open,1/1/2006 17:00,Albuquerque,NM,USA,Changing,"Vertical, white cigar shaped object, seperated into 3 white round spinning objects, disappeared and a gold metallic object appeard.",2/26/2006,,,35.101401,-106.631867
Open,11/3/2013 7:00,Anthony,NM,USA,Changing,Object would move n stop.,11/3/2013,,,32.012244,-106.603248
Open,6/22/2019 22:30,Belen,NM,USA,Changing,"I was the passenger in a car, in the back seat on the passengers side. We were driving south on I-25. Our destination was Belen. My unc",6/23/2019,,,34.660595,-106.775377
Open,,Blue Water,NM,USA,Changing,"object was bright, not natural, IT was not a planet or star, or weather balloon. I HAVE PHOTO's!",9/5/2000,,,35.253926,-107.981242
